Address,Street,COMMON,x,y
2110,HAINES ST,tree of heaven,-8529984.183169419,4760540.899298372
301,E RANDALL ST,tree of heaven,-8528084.561211053,4760570.974882642
2801,HARFORD ROAD,tree of heaven,-8525015.184216488,4767514.512755631
2801,HARFORD ROAD,tree of heaven,-8525029.290354947,4767491.3939720355
2801,HARFORD ROAD,tree of heaven,-8525023.117448054,4767503.078467879
2801,HARFORD ROAD,tree of heaven,-8525017.155531876,4767504.568916092
1400,E EAGER ST,tree of heaven,-8526987.37277389,4765041.327911613
3000,E MADISON ST,tree of heaven,-8524438.17065417,4764906.548547326
3000,E MADISON ST,tree of heaven,-8524367.796524733,4764872.553128466
3000,E MADISON ST,tree of heaven,-8524363.96421272,4764861.164959335
3000,E MADISON ST,tree of heaven,-8524363.931306157,4764857.373072506
1530,MONTPELIER ST,tree of heaven,-8526824.154093824,4767869.7998075215
3000,E MADISON ST,tree of heaven,-8524067.71595173,4764924.082709818
3000,E MADISON ST,tree of heaven,-8524458.413979838,4765040.684352776
2201,N CALVERT ST,tree of heaven,-8528586.192768296,4766902.287614374
2201,N CALVERT ST,tree of heaven,-8528589.864625005,4766895.073507794
201,E 23RD ST,tree of heaven,-8528580.192480125,4766909.352503316
200,E 22ND ST,tree of heaven,-8528564.121590473,4766845.173524091
100,S LINWOOD AVE,tree of heaven,-8525173.055263162,4763415.090419439
100,S LINWOOD AVE,tree of heaven,-8524878.6805317,4763458.609436461
2601,BOSTON ST,tree of heaven,-8524835.35091659,4761878.890766726
1225,S ELLWOOD AVE,tree of heaven,-8523976.536596216,4761530.818358771
6500,PIONEER DR,tree of heaven,-8524127.759921895,4774579.594401331
100,S LINWOOD AVE,tree of heaven,-8525175.118982136,4763423.345508513
100,S LINWOOD AVE,tree of heaven,-8525177.738337936,4763425.647377524
827,MONTPELIER ST,tree of heaven,-8527743.060925351,4768281.820066054
2801,HARFORD ROAD,tree of heaven,-8525554.347900515,4767533.7679198105
2801,HARFORD ROAD,tree of heaven,-8526128.477482842,4766826.449453401
2801,HARFORD ROAD,tree of heaven,-8525869.563157212,4767732.757640305
2801,HARFORD ROAD,tree of heaven,-8526134.668723412,4766835.418740882
2801,HARFORD ROAD,tree of heaven,-8526138.558115551,4766841.21316146
827,MONTPELIER ST,tree of heaven,-8527740.78560007,4768283.513305622
3001,BOSTON ST,tree of heaven,-8523974.610215612,4761386.218688898
3001,BOSTON ST,tree of heaven,-8523899.68895558,4761373.659786085
3001,BOSTON ST,tree of heaven,-8523985.616766488,4761379.339446565
3001,BOSTON ST,tree of heaven,-8523867.198211858,4761374.188866236
3001,BOSTON ST,tree of heaven,-8523987.63646835,4761383.903527076
3001,BOSTON ST,tree of heaven,-8523683.603911392,4761410.304519632
3001,BOSTON ST,tree of heaven,-8523871.563893715,4761371.71059751
3001,BOSTON ST,tree of heaven,-8523989.594448237,4761385.438142028
3001,BOSTON ST,tree of heaven,-8523870.126298713,4761370.330360129
3001,BOSTON ST,tree of heaven,-8523683.445167145,4761409.272666761
3001,BOSTON ST,tree of heaven,-8523922.716570765,4761373.011545636
3001,BOSTON ST,tree of heaven,-8523990.970235659,4761385.9672875665
3001,BOSTON ST,tree of heaven,-8523990.811506502,4761384.538546905
3001,BOSTON ST,tree of heaven,-8523682.651376437,4761403.001991013
3001,BOSTON ST,tree of heaven,-8523924.674496222,4761375.604471373
3001,BOSTON ST,tree of heaven,-8523990.229351038,4761384.326868484
3001,BOSTON ST,tree of heaven,-8523683.603879435,4761396.493210777
3001,BOSTON ST,tree of heaven,-8523869.80870381,4761367.261218891
3001,BOSTON ST,tree of heaven,-8523927.831821838,4761375.555871369
3001,BOSTON ST,tree of heaven,-8523990.017686116,4761383.321458439
3001,BOSTON ST,tree of heaven,-8523682.095849453,4761393.715184611
3001,BOSTON ST,tree of heaven,-8523990.917238407,4761383.638905544
3001,BOSTON ST,tree of heaven,-8523869.755790303,4761366.520418956
3001,BOSTON ST,tree of heaven,-8523991.287744028,4761383.533134333
3001,BOSTON ST,tree of heaven,-8523869.385478515,4761364.350778626
3001,BOSTON ST,tree of heaven,-8523992.981065633,4761385.438139593
3001,BOSTON ST,tree of heaven,-8523870.443719488,4761365.3561661905
3001,BOSTON ST,tree of heaven,-8523992.081451448,4761385.438053114
3001,BOSTON ST,tree of heaven,-8523992.504837604,4761384.644311062
3001,BOSTON ST,tree of heaven,-8523872.48104692,4761366.692339416
3001,BOSTON ST,tree of heaven,-8524016.008575326,4761385.618968712
3001,BOSTON ST,tree of heaven,-8523968.930470891,4761377.990065236
3001,BOSTON ST,tree of heaven,-8523875.074013922,4761365.854559385
