"daytime","policeDistrict","date","actual_date","year","doy","temp_K","callscount","temp_F","UTCI"
0,"Central","2022-07-13",2022193,2022,193,295.682222222222,0,72.5579999999996,300.858652750651
0,"Central","2022-07-16",2022196,2022,196,298.033333333333,0,76.7899999999995,299.320678710938
0,"Central","2022-07-17",2022197,2022,197,297.78,0,76.334,300.654972076416
0,"Central","2022-07-21",2022201,2022,201,297.866666666667,0,76.4900000000007,302.402168273926
0,"Central","2022-07-22",2022202,2022,202,300.346666666667,0,80.9540000000006,302.442183176676
0,"Central","2022-07-23",2022203,2022,203,299.208888888889,0,78.9060000000003,303.533888498942
0,"Central","2022-07-24",2022204,2022,204,299.768888888889,1,79.9140000000003,303.231700897217
0,"Central","2022-07-29",2022209,2022,209,299.017777777778,0,78.5620000000005,300.027441660563
0,"Central","2022-08-01",2022212,2022,212,296.833333333333,0,74.6299999999994,299.016939798991
0,"Central","2022-08-04",2022215,2022,215,298.702222222222,0,77.9939999999997,302.808806101481
0,"Central","2022-08-05",2022216,2022,216,300.277777777778,0,80.8300000000004,303.228974660238
0,"Central","2022-08-09",2022220,2022,220,299.417777777778,0,79.2820000000004,303.909734090169
0,"Central","2022-08-10",2022221,2022,221,299.051111111111,0,78.6219999999999,303.766429901123
0,"Central","2022-08-14",2022225,2022,225,295.095555555556,1,71.5020000000009,295.070358276367
0,"Central","2022-08-18",2022229,2022,229,295.18,0,71.6540000000001,296.262949625651
0,"Central","2022-08-26",2022237,2022,237,296.768888888889,0,74.5140000000003,300.243300120036
0,"Central","2022-08-28",2022239,2022,239,298.737777777778,0,78.0580000000004,300.899973551432
0,"Central","2022-08-29",2022240,2022,240,294.646666666667,0,70.6940000000006,301.268257141113
0,"Central","2022-08-30",2022241,2022,241,298.473333333333,0,77.5819999999995,300.655030568441
0,"Central","2022-08-31",2022242,2022,242,297.966666666667,0,76.6700000000006,296.127663930257
0,"Central","2022-09-03",2022245,2022,245,296.642222222222,0,74.2859999999997,298.078072865804
0,"Central","2022-09-04",2022246,2022,246,292.328571428571,0,66.5214285714279,299.406403859456
0,"Central","2022-09-10",2022252,2022,252,294.036666666667,0,69.5960000000006,293.886025746663
0,"Central","2022-09-11",2022253,2022,253,294.006666666667,1,69.5420000000007,295.021268208822
0,"Central","2022-09-15",2022257,2022,257,292.81,0,67.388,293.108029683431
0,"Central","2022-09-17",2022259,2022,259,290.96,0,64.058,294.397804260254
0,"Central","2022-09-18",2022260,2022,260,290.437142857143,0,63.1168571428574,294.117416381836
0,"Central","2022-09-20",2022262,2022,262,295.0625,0,71.4425000000001,295.460151672363
0,"Central","2022-09-22",2022264,2022,264,293.073333333333,0,67.8619999999994,292.138886769613
0,"Central","2022-09-24",2022266,2022,266,289.16,0,60.8180000000001,286.300792694092
0,"Central","2022-09-26",2022268,2022,268,281.5,0,47.03,288.996178944906
0,"Central","2022-09-27",2022269,2022,269,281.46,0,46.958,286.451059977214
0,"Central","2022-09-30",2022272,2022,272,279.88,1,44.114,279.844158172607
0,"Central","2022-10-03",2022275,2022,275,284.6925,0,52.7765,272.658926645915
0,"Central","2022-10-06",2022278,2022,278,273.552,0,32.7236000000001,289.498884836833
0,"Central","2022-10-07",2022279,2022,279,285.253333333333,1,53.7859999999994,288.870445251465
0,"Central","2022-10-08",2022280,2022,280,287.76,0,58.298,281.287667592367
0,"Central","2022-10-10",2022282,2022,282,281.953333333333,0,47.8459999999994,283.458419799805
